自增ID,款式编码,商品编码,商品名称,颜色及规格,颜色,规格,基本售价,市场吊牌价,分类,商品属性,创建时间,季节,面料成份
60,SPU014,SPU014-灰色-均码,西装外套春季款,灰色 标准,灰色,标准,79.0,306.0,女装,均码,2025-09-13 00:28:08,秋冬,麻
61,SPU014,SPU014-灰色-XS,西装外套春季款,灰色 宽松,灰色,宽松,177.0,515.0,女装,XS,2025-03-22 14:00:02,秋冬,棉
62,SPU014,SPU014-灰色-均码,西装外套春季款,灰色 标准,灰色,标准,52.0,347.0,女装,均码,2025-02-25 22:57:26,秋冬,棉
63,SPU015,SPU015-灰色-M,牛仔裤秋冬款,灰色 标准,灰色,标准,445.0,650.0,女装,M,2025-09-08 03:15:28,春季,羊毛
64,SPU015,SPU015-灰色-M,牛仔裤秋冬款,灰色 修身,灰色,修身,371.0,200.0,女装,M,2024-09-03 08:58:43,春季,混纺
65,SPU015,SPU015-灰色-L,牛仔裤秋冬款,灰色 加长,灰色,加长,313.0,157.0,女装,L,2025-04-04 06:14:45,春季,涤纶
66,SPU016,SPU016-绿色-XXL,运动长裤经典款,绿色 宽松,绿色,宽松,415.0,546.0,运动,XXL,2024-03-26 00:46:32,秋冬,麻
67,SPU016,SPU016-绿色-XXXL,运动长裤经典款,绿色 修身,绿色,修身,452.0,744.0,运动,XXXL,2025-09-23 10:06:07,秋冬,羊毛
68,SPU016,SPU016-绿色-XL,运动长裤经典款,绿色 宽松,绿色,宽松,304.0,575.0,运动,XL,2025-06-07 03:53:43,秋冬,丝
69,SPU017,SPU017-白色-L,速干短裤春季款,白色 标准,白色,标准,111.0,488.0,运动,L,2024-03-15 01:03:44,春季,丝
70,SPU017,SPU017-白色-XL,速干短裤春季款,白色 修身,白色,修身,184.0,749.0,运动,XL,2025-02-13 03:09:54,春季,麻
71,SPU017,SPU017-白色-M,速干短裤春季款,白色 加长,白色,加长,402.0,684.0,运动,M,2025-09-20 00:13:45,春季,棉
72,SPU017,SPU017-白色-M,速干短裤春季款,白色 短款,白色,短款,249.0,319.0,运动,M,2025-02-06 09:36:54,春季,混纺
73,SPU017,SPU017-白色-XXL,速干短裤春季款,白色 加长,白色,加长,209.0,427.0,运动,XXL,2024-01-30 09:06:34,春季,麻
74,SPU018,SPU018-红色-XS,休闲裤秋冬款,红色 加长,红色,加长,90.0,198.0,男装,XS,2024-12-10 10:06:41,冬季,丝
75,SPU018,SPU018-红色-L,休闲裤秋冬款,红色 短款,红色,短款,280.0,189.0,男装,L,2024-07-17 04:46:25,冬季,羊毛
76,SPU018,SPU018-红色-XL,休闲裤秋冬款,红色 修身,红色,修身,390.0,375.0,男装,XL,2025-03-07 23:50:58,冬季,麻
77,SPU018,SPU018-红色-XS,休闲裤秋冬款,红色 加长,红色,加长,413.0,712.0,男装,XS,2025-04-15 11:08:43,冬季,麻
78,SPU019,SPU019-黑色-XS,针织连衣裙热卖款,黑色 标准,黑色,标准,423.0,555.0,女装,XS,2024-06-04 21:11:42,秋冬,丝
79,SPU019,SPU019-黑色-S,针织连衣裙热卖款,黑色 标准,黑色,标准,304.0,583.0,女装,S,2025-01-03 19:49:22,秋冬,棉
80,SPU019,SPU019-黑色-S,针织连衣裙热卖款,黑色 短款,黑色,短款,353.0,618.0,女装,S,2025-04-10 02:05:45,秋冬,棉
81,SPU020,SPU020-蓝色-M,家居服春季款,蓝色 短款,蓝色,短款,383.0,447.0,内衣,M,2025-04-19 22:21:48,夏季,涤纶
82,SPU020,SPU020-蓝色-M,家居服春季款,蓝色 标准,蓝色,标准,333.0,603.0,内衣,M,2025-10-22 00:11:35,夏季,棉
83,SPU020,SPU020-蓝色-均码,家居服春季款,蓝色 短款,蓝色,短款,359.0,180.0,内衣,均码,2024-05-21 22:07:13,夏季,棉
84,SPU020,SPU020-蓝色-M,家居服春季款,蓝色 短款,蓝色,短款,446.0,464.0,内衣,M,2024-12-02 00:44:23,夏季,涤纶
85,SPU020,SPU020-蓝色-L,家居服春季款,蓝色 修身,蓝色,修身,263.0,683.0,内衣,L,2024-08-02 07:15:37,夏季,麻
86,SPU021,SPU021-红色-S,速干T恤热卖款,红色 标准,红色,标准,232.0,788.0,运动,S,2024-07-27 00:28:06,冬季,涤纶
87,SPU021,SPU021-红色-XL,速干T恤热卖款,红色 短款,红色,短款,357.0,702.0,运动,XL,2024-06-24 02:51:43,冬季,羊毛
88,SPU021,SPU021-红色-S,速干T恤热卖款,红色 加长,红色,加长,116.0,115.0,运动,S,2025-04-04 16:11:42,冬季,涤纶
89,SPU021,SPU021-红色-L,速干T恤热卖款,红色 宽松,红色,宽松,280.0,590.0,运动,L,2023-11-30 00:47:17,冬季,涤纶
90,SPU022,SPU022-绿色-XL,家居服春季款,绿色 标准,绿色,标准,350.0,771.0,内衣,XL,2025-08-30 09:20:13,秋季,麻
91,SPU022,SPU022-绿色-XXL,家居服春季款,绿色 标准,绿色,标准,226.0,588.0,内衣,XXL,2025-09-22 11:11:15,秋季,棉
92,SPU022,SPU022-绿色-均码,家居服春季款,绿色 加长,绿色,加长,416.0,204.0,内衣,均码,2025-05-30 17:10:52,秋季,丝
93,SPU022,SPU022-绿色-均码,家居服春季款,绿色 修身,绿色,修身,304.0,108.0,内衣,均码,2024-01-10 19:02:41,秋季,丝
94,SPU023,SPU023-橙色-均码,休闲衬衫秋冬款,橙色 修身,橙色,修身,459.0,348.0,童装,均码,2025-01-12 22:49:02,春季,涤纶
95,SPU023,SPU023-橙色-均码,休闲衬衫秋冬款,橙色 加长,橙色,加长,175.0,787.0,童装,均码,2024-12-04 06:35:58,春季,丝
96,SPU023,SPU023-橙色-L,休闲衬衫秋冬款,橙色 标准,橙色,标准,456.0,468.0,童装,L,2024-10-24 12:18:12,春季,羊毛
97,SPU024,SPU024-白色-M,POLO衫热卖款,白色 标准,白色,标准,345.0,494.0,童装,M,2024-05-08 17:41:09,秋冬,麻
98,SPU024,SPU024-白色-M,POLO衫热卖款,白色 标准,白色,标准,403.0,561.0,童装,M,2025-07-24 14:19:48,秋冬,麻
99,SPU024,SPU024-白色-S,POLO衫热卖款,白色 加长,白色,加长,219.0,430.0,童装,S,2024-04-13 12:59:13,秋冬,混纺
100,SPU025,SPU025-黄色-XL,家居服热卖款,黄色 宽松,黄色,宽松,364.0,512.0,内衣,XL,2024-12-22 21:25:31,春季,羊毛
101,SPU025,SPU025-黄色-XXL,家居服热卖款,黄色 短款,黄色,短款,328.0,383.0,内衣,XXL,2024-06-30 03:07:30,春季,棉
102,SPU025,SPU025-黄色-XS,家居服热卖款,黄色 宽松,黄色,宽松,154.0,566.0,内衣,XS,2023-11-04 11:42:19,春季,麻
103,SPU026,SPU026-绿色-XXL,家居服秋冬款,绿色 宽松,绿色,宽松,492.0,666.0,内衣,XXL,2025-10-17 17:42:56,夏季,混纺
104,SPU026,SPU026-绿色-L,家居服秋冬款,绿色 修身,绿色,修身,455.0,222.0,内衣,L,2025-06-28 21:53:56,夏季,麻
105,SPU026,SPU026-绿色-XXXL,家居服秋冬款,绿色 修身,绿色,修身,78.0,275.0,内衣,XXXL,2024-06-15 06:01:01,夏季,棉
106,SPU026,SPU026-绿色-S,家居服秋冬款,绿色 加长,绿色,加长,394.0,525.0,内衣,S,2025-09-05 08:26:39,夏季,棉
107,SPU026,SPU026-绿色-M,家居服秋冬款,绿色 标准,绿色,标准,98.0,415.0,内衣,M,2024-11-12 06:20:00,夏季,涤纶
108,SPU027,SPU027-黄色-L,套头卫衣夏季款,黄色 宽松,黄色,宽松,164.0,406.0,男装,L,2024-02-02 22:36:54,秋季,丝
109,SPU027,SPU027-黄色-L,套头卫衣夏季款,黄色 宽松,黄色,宽松,384.0,404.0,男装,L,2024-05-10 06:52:53,秋季,羊毛
110,SPU027,SPU027-黄色-L,套头卫衣夏季款,黄色 修身,黄色,修身,312.0,540.0,男装,L,2024-06-05 12:52:42,秋季,混纺
111,SPU027,SPU027-黄色-S,套头卫衣夏季款,黄色 宽松,黄色,宽松,65.0,198.0,男装,S,2025-07-18 11:16:59,秋季,棉
112,SPU027,SPU027-黄色-XXL,套头卫衣夏季款,黄色 加长,黄色,加长,306.0,705.0,男装,XXL,2025-05-22 02:46:36,秋季,丝
113,SPU028,SPU028-橙色-均码,运动T恤秋冬款,橙色 宽松,橙色,宽松,425.0,499.0,运动,均码,2025-05-24 02:29:06,春季,麻
114,SPU028,SPU028-橙色-XXL,运动T恤秋冬款,橙色 标准,橙色,标准,328.0,491.0,运动,XXL,2023-12-21 07:54:00,春季,涤纶
115,SPU028,SPU028-橙色-S,运动T恤秋冬款,橙色 加长,橙色,加长,242.0,363.0,运动,S,2024-01-14 18:28:05,春季,棉
116,SPU029,SPU029-黑色-M,伞裙夏季款,黑色 短款,黑色,短款,184.0,183.0,女装,M,2025-04-24 03:31:43,春季,涤纶
117,SPU029,SPU029-黑色-XS,伞裙夏季款,黑色 短款,黑色,短款,293.0,116.0,女装,XS,2024-02-12 19:21:51,春季,丝
118,SPU029,SPU029-黑色-XL,伞裙夏季款,黑色 加长,黑色,加长,366.0,148.0,女装,XL,2024-01-07 10:37:47,春季,涤纶
119,SPU029,SPU029-黑色-XL,伞裙夏季款,黑色 修身,黑色,修身,290.0,269.0,女装,XL,2024-07-24 14:58:23,春季,羊毛
120,SPU029,SPU029-黑色-XL,伞裙夏季款,黑色 加长,黑色,加长,328.0,482.0,女装,XL,2024-02-06 20:38:00,春季,棉
121,SPU030,SPU030-绿色-XL,牛仔裤热卖款,绿色 修身,绿色,修身,65.0,395.0,童装,XL,2024-11-17 09:44:29,春季,涤纶
122,SPU030,SPU030-绿色-XXL,牛仔裤热卖款,绿色 修身,绿色,修身,113.0,483.0,童装,XXL,2024-02-05 22:08:09,春季,混纺
123,SPU030,SPU030-绿色-XXL,牛仔裤热卖款,绿色 修身,绿色,修身,156.0,151.0,童装,XXL,2024-12-13 07:37:37,春季,羊毛
124,SPU030,SPU030-绿色-XS,牛仔裤热卖款,绿色 标准,绿色,标准,491.0,765.0,童装,XS,2025-09-26 10:14:27,春季,羊毛
125,SPU030,SPU030-绿色-S,牛仔裤热卖款,绿色 短款,绿色,短款,265.0,191.0,童装,S,2024-11-01 00:07:36,春季,混纺
126,SPU031,SPU031-黑色-XS,运动套装经典款,黑色 加长,黑色,加长,278.0,555.0,童装,XS,2025-07-24 12:58:42,秋季,麻
127,SPU031,SPU031-黑色-均码,运动套装经典款,黑色 标准,黑色,标准,402.0,714.0,童装,均码,2024-11-10 00:14:25,秋季,涤纶
128,SPU031,SPU031-黑色-XS,运动套装经典款,黑色 修身,黑色,修身,62.0,647.0,童装,XS,2025-06-15 15:27:29,秋季,涤纶
129,SPU032,SPU032-黄色-XXXL,连帽卫衣春季款,黄色 修身,黄色,修身,299.0,136.0,运动,XXXL,2024-10-28 10:29:46,夏季,麻
130,SPU032,SPU032-黄色-M,连帽卫衣春季款,黄色 加长,黄色,加长,366.0,485.0,运动,M,2025-03-25 08:13:35,夏季,棉
131,SPU032,SPU032-黄色-均码,连帽卫衣春季款,黄色 修身,黄色,修身,454.0,788.0,运动,均码,2023-12-12 04:19:19,夏季,丝
132,SPU032,SPU032-黄色-XXL,连帽卫衣春季款,黄色 宽松,黄色,宽松,204.0,743.0,运动,XXL,2024-11-13 08:46:47,夏季,涤纶
133,SPU032,SPU032-黄色-L,连帽卫衣春季款,黄色 修身,黄色,修身,315.0,259.0,运动,L,2024-02-16 11:09:15,夏季,混纺
134,SPU033,SPU033-黄色-XS,长袖T恤新款,黄色 修身,黄色,修身,443.0,275.0,女装,XS,2024-12-25 21:51:16,秋冬,棉
135,SPU033,SPU033-黄色-S,长袖T恤新款,黄色 修身,黄色,修身,107.0,226.0,女装,S,2025-01-13 17:31:32,秋冬,棉
136,SPU033,SPU033-黄色-XXL,长袖T恤新款,黄色 标准,黄色,标准,321.0,723.0,女装,XXL,2024-04-29 00:16:44,秋冬,丝
137,SPU033,SPU033-黄色-M,长袖T恤新款,黄色 短款,黄色,短款,229.0,560.0,女装,M,2024-02-26 16:17:55,秋冬,混纺
138,SPU033,SPU033-黄色-S,长袖T恤新款,黄色 修身,黄色,修身,163.0,481.0,女装,S,2025-05-17 08:31:28,秋冬,麻
139,SPU034,SPU034-棕色-XXL,休闲裤新款,棕色 宽松,棕色,宽松,250.0,312.0,男装,XXL,2025-02-25 10:18:53,夏季,丝
140,SPU034,SPU034-棕色-XL,休闲裤新款,棕色 宽松,棕色,宽松,287.0,287.0,男装,XL,2023-11-17 05:59:23,夏季,混纺
141,SPU034,SPU034-棕色-S,休闲裤新款,棕色 修身,棕色,修身,206.0,388.0,男装,S,2025-09-06 21:59:21,夏季,羊毛
142,SPU034,SPU034-棕色-均码,休闲裤新款,棕色 标准,棕色,标准,85.0,738.0,男装,均码,2024-06-11 19:42:09,夏季,羊毛
143,SPU034,SPU034-棕色-L,休闲裤新款,棕色 标准,棕色,标准,384.0,248.0,男装,L,2025-01-13 15:05:16,夏季,丝
144,SPU035,SPU035-白色-XS,训练外套经典款,白色 宽松,白色,宽松,364.0,555.0,运动,XS,2024-01-21 23:32:14,春季,麻
145,SPU035,SPU035-白色-S,训练外套经典款,白色 修身,白色,修身,275.0,124.0,运动,S,2024-06-04 01:35:27,春季,丝
146,SPU035,SPU035-白色-XXXL,训练外套经典款,白色 标准,白色,标准,422.0,159.0,运动,XXXL,2025-09-16 19:58:09,春季,丝
147,SPU035,SPU035-白色-XXXL,训练外套经典款,白色 加长,白色,加长,58.0,368.0,运动,XXXL,2024-02-05 20:46:06,春季,麻
148,SPU035,SPU035-白色-XS,训练外套经典款,白色 宽松,白色,宽松,143.0,229.0,运动,XS,2024-05-17 17:18:59,春季,麻
149,SPU036,SPU036-红色-XL,羽绒服热卖款,红色 修身,红色,修身,294.0,343.0,男装,XL,2025-08-30 07:10:06,春季,棉
150,SPU036,SPU036-红色-XXL,羽绒服热卖款,红色 标准,红色,标准,415.0,514.0,男装,XXL,2023-12-18 05:39:30,春季,棉
151,SPU036,SPU036-红色-XXL,羽绒服热卖款,红色 短款,红色,短款,245.0,399.0,男装,XXL,2024-07-03 06:03:56,春季,混纺
152,SPU036,SPU036-红色-XS,羽绒服热卖款,红色 修身,红色,修身,299.0,767.0,男装,XS,2024-03-23 03:53:45,春季,混纺
153,SPU036,SPU036-红色-XL,羽绒服热卖款,红色 短款,红色,短款,259.0,501.0,男装,XL,2025-02-24 19:02:33,春季,羊毛
154,SPU037,SPU037-灰色-M,运动T恤热卖款,灰色 加长,灰色,加长,260.0,795.0,运动,M,2024-03-25 10:09:26,夏季,涤纶
155,SPU037,SPU037-灰色-M,运动T恤热卖款,灰色 修身,灰色,修身,176.0,578.0,运动,M,2024-02-04 05:41:08,夏季,丝
156,SPU037,SPU037-灰色-S,运动T恤热卖款,灰色 宽松,灰色,宽松,397.0,307.0,运动,S,2025-04-14 15:25:43,夏季,羊毛
157,SPU037,SPU037-灰色-XXXL,运动T恤热卖款,灰色 修身,灰色,修身,327.0,353.0,运动,XXXL,2025-05-27 04:42:09,夏季,混纺
158,SPU037,SPU037-灰色-XL,运动T恤热卖款,灰色 短款,灰色,短款,56.0,315.0,运动,XL,2025-10-17 19:05:14,夏季,混纺
159,SPU038,SPU038-灰色-M,家居服热卖款,灰色 加长,灰色,加长,258.0,408.0,内衣,M,2025-09-13 09:14:59,夏季,麻
160,SPU038,SPU038-灰色-XS,家居服热卖款,灰色 标准,灰色,标准,266.0,691.0,内衣,XS,2025-08-28 05:28:30,夏季,涤纶
161,SPU038,SPU038-灰色-XXXL,家居服热卖款,灰色 修身,灰色,修身,311.0,156.0,内衣,XXXL,2025-10-28 19:23:15,夏季,羊毛
162,SPU038,SPU038-灰色-XXL,家居服热卖款,灰色 修身,灰色,修身,248.0,281.0,内衣,XXL,2024-01-31 05:10:14,夏季,丝
163,SPU039,SPU039-绿色-M,休闲衬衫经典款,绿色 宽松,绿色,宽松,334.0,203.0,童装,M,2024-02-14 06:51:21,冬季,羊毛
164,SPU039,SPU039-绿色-XS,休闲衬衫经典款,绿色 宽松,绿色,宽松,102.0,127.0,童装,XS,2024-04-16 19:34:21,冬季,混纺
165,SPU039,SPU039-绿色-均码,休闲衬衫经典款,绿色 短款,绿色,短款,193.0,487.0,童装,均码,2025-08-20 15:05:14,冬季,涤纶
166,SPU039,SPU039-绿色-XS,休闲衬衫经典款,绿色 标准,绿色,标准,489.0,111.0,童装,XS,2025-07-05 11:25:51,冬季,丝
167,SPU040,SPU040-棕色-XS,运动T恤热卖款,棕色 短款,棕色,短款,156.0,176.0,运动,XS,2023-12-03 10:06:45,春夏,羊毛
168,SPU040,SPU040-棕色-均码,运动T恤热卖款,棕色 修身,棕色,修身,280.0,266.0,运动,均码,2024-02-13 14:45:44,春夏,丝
169,SPU040,SPU040-棕色-XXL,运动T恤热卖款,棕色 加长,棕色,加长,82.0,399.0,运动,XXL,2024-02-11 04:23:26,春夏,丝
170,SPU040,SPU040-棕色-M,运动T恤热卖款,棕色 修身,棕色,修身,197.0,652.0,运动,M,2025-04-28 10:56:47,春夏,丝
171,SPU040,SPU040-棕色-XXXL,运动T恤热卖款,棕色 标准,棕色,标准,262.0,781.0,运动,XXXL,2023-11-25 13:51:48,春夏,羊毛
172,SPU041,SPU041-白色-XXL,运动套装热卖款,白色 修身,白色,修身,181.0,205.0,童装,XXL,2024-03-22 10:53:30,春夏,羊毛
173,SPU041,SPU041-白色-XS,运动套装热卖款,白色 修身,白色,修身,324.0,666.0,童装,XS,2025-08-26 11:56:57,春夏,羊毛
174,SPU041,SPU041-白色-XXL,运动套装热卖款,白色 宽松,白色,宽松,220.0,508.0,童装,XXL,2025-07-22 16:51:48,春夏,混纺
175,SPU042,SPU042-白色-XXXL,家居服夏季款,白色 修身,白色,修身,480.0,771.0,内衣,XXXL,2025-06-16 23:40:25,夏季,涤纶
176,SPU042,SPU042-白色-XXXL,家居服夏季款,白色 短款,白色,短款,380.0,693.0,内衣,XXXL,2024-06-20 01:54:48,夏季,羊毛
177,SPU042,SPU042-白色-XS,家居服夏季款,白色 短款,白色,短款,263.0,467.0,内衣,XS,2024-12-18 13:04:45,夏季,麻
178,SPU042,SPU042-白色-XXL,家居服夏季款,白色 标准,白色,标准,138.0,503.0,内衣,XXL,2024-07-20 18:47:30,夏季,涤纶
179,SPU042,SPU042-白色-XXL,家居服夏季款,白色 宽松,白色,宽松,410.0,784.0,内衣,XXL,2024-02-07 16:07:55,夏季,涤纶
180,SPU043,SPU043-粉色-S,训练外套经典款,粉色 宽松,粉色,宽松,250.0,770.0,运动,S,2024-12-30 02:23:47,冬季,麻
